,i,year,gender,name,amount,perc
0,0,1880,M,Rodrigo,636,0.006520000000000001
7,7,1881,M,Rodrigo,612,0.00619
14,14,1882,M,Rodrigo,838,0.007240000000000001
21,21,1883,M,Rodrigo,862,0.00718
28,28,1884,M,Rodrigo,986,0.00717
36,36,1885,M,Rodrigo,1134,0.00799
44,44,1886,M,Rodrigo,1267,0.00824
52,52,1887,M,Rodrigo,1405,0.009040000000000001
60,60,1888,M,Rodrigo,1847,0.00975
68,68,1889,M,Rodrigo,1909,0.01009
76,76,1890,M,Rodrigo,2312,0.01146
84,84,1891,M,Rodrigo,2417,0.0123
92,92,1892,M,Rodrigo,2936,0.01305
100,100,1893,M,Rodrigo,3249,0.014430000000000002
108,108,1894,M,Rodrigo,3676,0.015580000000000002
116,116,1895,M,Rodrigo,4023,0.016280000000000003
124,124,1896,M,Rodrigo,4392,0.01743
132,132,1897,M,Rodrigo,4519,0.0182
140,140,1898,M,Rodrigo,5230,0.01908
148,148,1899,M,Rodrigo,5048,0.0204
156,156,1900,M,Rodrigo,6343,0.01996
164,164,1901,M,Rodrigo,5247,0.020640000000000002
172,172,1902,M,Rodrigo,5967,0.02129
180,180,1903,M,Rodrigo,6129,0.02203
188,188,1904,M,Rodrigo,6488,0.02219
196,196,1905,M,Rodrigo,6811,0.02198
204,204,1906,M,Rodrigo,7176,0.02289
212,212,1907,M,Rodrigo,7579,0.02246
220,220,1908,M,Rodrigo,8439,0.0238
228,228,1909,M,Rodrigo,9250,0.02513
236,236,1910,M,Rodrigo,10479,0.024980000000000002
244,244,1911,M,Rodrigo,11802,0.02671
252,252,1912,M,Rodrigo,16133,0.0275
260,260,1913,M,Rodrigo,18889,0.028839999999999998
268,268,1914,M,Rodrigo,23221,0.02915
276,276,1915,M,Rodrigo,30866,0.03015
284,284,1916,M,Rodrigo,32661,0.030080000000000003
292,292,1917,M,Rodrigo,34249,0.03048
301,301,1918,M,Rodrigo,36150,0.03007
309,309,1919,M,Rodrigo,33705,0.028689999999999997
318,318,1920,M,Rodrigo,35098,0.028210000000000002
326,326,1921,M,Rodrigo,34819,0.02721
334,334,1922,M,Rodrigo,32507,0.026060000000000003
342,342,1923,M,Rodrigo,31492,0.02514
350,350,1924,M,Rodrigo,31193,0.024069999999999998
359,359,1925,M,Rodrigo,29168,0.02309
367,367,1926,M,Rodrigo,26884,0.02185
375,375,1927,M,Rodrigo,25316,0.02048
383,383,1928,M,Rodrigo,22936,0.019190000000000002
391,391,1929,M,Rodrigo,20983,0.01813
399,399,1930,M,Rodrigo,19914,0.01707
407,407,1931,M,Rodrigo,17657,0.016
416,416,1932,M,Rodrigo,16375,0.0148
424,424,1933,M,Rodrigo,14645,0.013999999999999999
432,432,1934,M,Rodrigo,14099,0.013030000000000002
440,440,1935,M,Rodrigo,12778,0.01176
448,448,1936,M,Rodrigo,12232,0.01135
456,456,1937,M,Rodrigo,11452,0.01039
464,464,1938,M,Rodrigo,10833,0.00949
474,474,1939,M,Rodrigo,10417,0.00919
482,482,1940,M,Rodrigo,10201,0.00864
490,490,1941,M,Rodrigo,9889,0.007940000000000001
499,499,1942,M,Rodrigo,10013,0.0072
508,508,1943,M,Rodrigo,9799,0.00683
517,517,1944,M,Rodrigo,8693,0.00636
526,526,1945,M,Rodrigo,8300,0.00617
535,535,1946,M,Rodrigo,8852,0.00549
544,544,1947,M,Rodrigo,8978,0.00494
554,554,1948,M,Rodrigo,8305,0.00477
563,563,1949,M,Rodrigo,7709,0.00439
572,572,1950,M,Rodrigo,7060,0.0040100000000000005
581,581,1951,M,Rodrigo,6945,0.0037600000000000003
590,590,1952,M,Rodrigo,6470,0.0034
599,599,1953,M,Rodrigo,6120,0.00317
608,608,1954,M,Rodrigo,5940,0.00298
617,617,1955,M,Rodrigo,5596,0.00279
626,626,1956,M,Rodrigo,5279,0.00256
635,635,1957,M,Rodrigo,5015,0.0023899999999999998
644,644,1958,M,Rodrigo,4763,0.00231
653,653,1959,M,Rodrigo,4378,0.0021100000000000003
662,662,1960,M,Rodrigo,4069,0.00196
671,671,1961,M,Rodrigo,3855,0.00186
680,680,1962,M,Rodrigo,3587,0.0017699999999999999
689,689,1963,M,Rodrigo,3340,0.00168
698,698,1964,M,Rodrigo,3095,0.00158
707,707,1965,M,Rodrigo,2804,0.0015300000000000001
716,716,1966,M,Rodrigo,2449,0.0014
726,726,1967,M,Rodrigo,2153,0.00125
735,735,1968,M,Rodrigo,1881,0.0011
744,744,1969,M,Rodrigo,1857,0.00105
754,754,1970,M,Rodrigo,1715,0.0009400000000000001
763,763,1971,M,Rodrigo,1441,0.00082
772,772,1972,M,Rodrigo,1245,0.0007700000000000001
782,782,1973,M,Rodrigo,1133,0.00073
789,789,1974,M,Rodrigo,1140,0.00073
798,798,1975,M,Rodrigo,1057,0.0006799999999999999
808,808,1976,M,Rodrigo,942,0.0006
816,816,1977,M,Rodrigo,992,0.0006
825,825,1978,M,Rodrigo,922,0.00056
835,835,1979,M,Rodrigo,879,0.0005099999999999999
843,843,1980,M,Rodrigo,909,0.0005099999999999999
852,852,1981,M,Rodrigo,896,0.0005
861,861,1982,M,Rodrigo,875,0.00047999999999999996
870,870,1983,M,Rodrigo,844,0.00047000000000000004
879,879,1984,M,Rodrigo,859,0.00047999999999999996
888,888,1985,M,Rodrigo,809,0.00044
897,897,1986,M,Rodrigo,766,0.00042
906,906,1987,M,Rodrigo,815,0.00043
915,915,1988,M,Rodrigo,775,0.0004
924,924,1989,M,Rodrigo,857,0.00043
933,933,1990,M,Rodrigo,861,0.00042
942,942,1991,M,Rodrigo,773,0.00037999999999999997
951,951,1992,M,Rodrigo,827,0.00041
959,959,1993,M,Rodrigo,868,0.00044
968,968,1994,M,Rodrigo,848,0.00044
977,977,1995,M,Rodrigo,837,0.00044
986,986,1996,M,Rodrigo,900,0.00047000000000000004
995,995,1997,M,Rodrigo,812,0.00043
1004,1004,1998,M,Rodrigo,832,0.00043
1013,1013,1999,M,Rodrigo,841,0.00043
1021,1021,2000,M,Rodrigo,890,0.00045
1030,1030,2001,M,Rodrigo,884,0.00045
1039,1039,2002,M,Rodrigo,875,0.00044
1048,1048,2003,M,Rodrigo,783,0.00039
1057,1057,2004,M,Rodrigo,860,0.00043
1065,1065,2005,M,Rodrigo,960,0.00047000000000000004
1074,1074,2006,M,Rodrigo,948,0.00045
1083,1083,2007,M,Rodrigo,931,0.00044
1092,1092,2008,M,Rodrigo,884,0.00043
1101,1101,2009,M,Rodrigo,826,0.00041
1110,1110,2010,M,Rodrigo,703,0.00036
1119,1119,2011,M,Rodrigo,729,0.00037999999999999997
1128,1128,2012,M,Rodrigo,772,0.0004
1137,1137,2013,M,Rodrigo,738,0.00037999999999999997
1146,1146,2014,M,Rodrigo,801,0.00041
1155,1155,2015,M,Rodrigo,757,0.00039
